date,name,amount,category,parent category,tags,account,account mask,note
1/15/26,Aplpay Shawarma Kingseattle,36.36,Eat out,,,Credit Card,1234,
1/14/26,Costco,285.50,Costco,,,Credit Card,1234,
1/13/26,Aplpay Uw Food Serviseattle,12.13,Eat out,,,Credit Card,5678,
1/12/26,Five Guys,25.14,Eat out,,,Credit Card,5678,
1/11/26,Aplpay Tst* Fort Stseattle,57.30,Eat out,,,Credit Card,5678,
1/10/26,Aplpay T&t Supermarkbellevue,56.83,Groceries - C,,,Credit Card,5678,
1/9/26,Panda Express,22.15,Eat out,,,Credit Card,5678,
1/8/26,Aplpay Aplus Hong Koseattle,42.15,Eat out,,,Credit Card,5678,
1/7/26,Aplpay Tst* Taco Paledinburg,27.25,Eat out,,,Credit Card,5678,
1/6/26,Domino's,21.56,Eat out,,,Credit Card,5678,
